,unique_dates,unique_users,unique_meals,Protein_average_sum,Calories_average_sum,Sodium_average_sum,Sugar_average_sum,Fat_average_sum,Carbs_average_sum,Fiber_average_sum,Protein_average_dif,Calories_average_dif,Sodium_average_dif,Sugar_average_dif,Fat_average_dif,Carbs_average_dif,Fiber_average_dif
0,2014-09-14,56,58,6.245841035120148,136.23105360443623,215.7216117216117,6.989051094890511,5.641176470588236,13.127118644067796,1.3450134770889488,58.267857142857146,693.4821428571429,676.1785714285714,21.946428571428573,26.785714285714285,87.67857142857143,10.142857142857142
1,2014-09-15,280,223,6.949937027707809,126.00124378109453,181.6229674796748,5.273216031280548,4.787349014621742,12.824838709677419,1.381948986265533,51.35,596.4678571428572,651.1714285714286,25.589285714285715,26.821428571428573,79.975,7.239285714285714
2,2014-09-16,279,246,7.175121163166398,128.07584,183.3759521218716,4.897581060216161,4.616699539776463,13.330019880715707,1.5029860650298605,47.45161290322581,553.010752688172,644.1182795698925,22.25448028673835,23.99283154121864,75.25806451612904,6.917562724014337
3,2014-09-17,274,253,7.27998674618953,132.67468688200395,185.93870601589103,4.899328859060403,4.967643051771117,13.420027341079972,1.5299727520435968,50.481751824817515,550.7883211678832,648.4014598540145,22.259124087591243,25.536496350364963,71.85401459854015,7.737226277372263
4,2014-09-18,382,328,6.989593188268685,127.45809792843691,183.88836477987422,4.790322580645161,4.833858840650012,13.187240283549254,1.6432584269662922,47.1413612565445,519.2460732984293,640.2931937172775,19.709424083769633,24.845549738219894,69.2434554973822,7.638743455497382
5,2014-09-19,452,341,6.944834710743802,134.21263071560386,196.24303457536087,4.9504950495049505,5.187208809826345,13.718366483283962,1.484251968503937,48.43805309734513,532.9314159292036,692.1061946902655,20.141592920353983,25.241150442477878,68.66150442477876,6.634955752212389
6,2014-09-20,515,339,6.9426862215360865,144.9181208053691,210.93252487562188,4.957107075767063,5.675154167495524,14.639801980198019,1.476984126984127,50.93980582524272,560.6019417475728,700.0213592233009,20.75728155339806,24.485436893203882,76.57087378640777,7.918446601941747
7,2014-09-21,712,445,6.818443804034582,139.18426444474798,196.6140193215008,4.896914285714286,5.348293926093728,13.92867231638418,1.5721754284054603,50.12359550561798,551.4831460674158,675.8047752808989,20.042134831460675,26.02247191011236,74.99016853932584,7.747191011235955
8,2014-09-22,1171,739,6.866145319262015,124.26329285768158,175.047261009667,4.741262389149713,4.727308202606728,12.9712080277885,1.5385128376125374,47.75491033304868,531.4833475661827,667.5807002561913,19.287788215200685,23.906917164816395,70.21007685738685,6.70196413321947
9,2014-09-23,1373,852,6.714413322273974,123.7961763211382,175.24094407388404,4.743988528568277,4.672999802774308,12.941096246265749,1.5166644177573876,46.23597960670065,503.78732702112165,642.5367807720321,19.23889293517844,22.365622723962126,68.51056081573198,6.702840495265841
10,2014-09-24,1346,841,6.587881987987592,124.13863398007341,172.1363875170747,4.768069896743447,4.618615363771847,13.000201436916672,1.5228104759222754,48.23997028231798,506.6768202080238,682.1679049034175,18.709509658246656,23.22065378900446,69.48959881129272,6.405646359583953
11,2014-09-25,1344,832,6.586587380244467,123.39171535482177,169.9543757776856,4.6708117443868735,4.647312117338357,12.900844730490748,1.5298507462686568,47.75,531.2470238095239,681.5565476190476,22.117559523809526,23.436011904761905,71.44940476190476,6.553571428571429
12,2014-09-26,1334,803,6.641701828410689,131.04915171402638,178.64246242263485,4.68576909243496,4.873877756230697,13.406994207251662,1.4842011570983533,50.595952023988005,567.1574212893553,723.5509745127437,19.44902548725637,24.843328335832084,74.90104947526237,7.29160419790105
13,2014-09-27,1298,739,6.89414017617771,142.75731772219265,200.94261886980334,4.975287656903766,5.456151272274531,14.245131640442436,1.4953821656050956,54.63251155624037,598.0647149460709,729.1317411402157,21.61864406779661,27.284283513097073,81.05701078582435,8.218027734976888
14,2014-09-28,1370,789,6.867569546120059,138.577650554388,200.02058378881264,4.920086393088553,5.47243623307652,14.085533184190902,1.4739042899179184,53.63430656934307,563.4744525547445,735.1627737226278,19.98978102189781,25.673722627737227,75.98175182481752,7.6
15,2014-09-29,1897,1098,6.606593813669198,121.96315475917694,171.64411957233253,4.7457382953181275,4.573513436924385,12.863229435200376,1.5389944576405383,46.86188719030047,512.4464944649446,672.4317343173432,18.94043226146547,23.460200316288876,70.7248286768582,6.665260938323669
16,2014-09-30,1934,1129,6.643518309477582,122.1188605108055,172.87804179788148,4.796964534613598,4.556410961415086,12.691695991956491,1.5174878490422186,46.32936918304033,501.41726990692865,680.936918304033,19.094105480868667,22.894002068252327,69.85108583247157,6.758531540847984
17,2014-10-01,1908,1103,6.759508189200349,125.0743396568939,180.40013097576949,4.712238147739802,4.682147701230064,12.885408461146378,1.5124235474006116,46.672955974842765,497.90932914046124,686.9659329140461,19.20649895178197,22.600104821802937,70.63626834381552,6.637840670859539
18,2014-10-02,1969,1162,6.703425833860616,124.56069880702381,176.18447566340288,4.687485805132864,4.650727172312224,12.954601676668652,1.5854514415781487,47.59573387506349,510.9527679024886,675.860843067547,19.585068562722196,22.79431183341798,71.11630269172169,6.90655154900965
19,2014-10-03,1973,1069,6.7301255230125525,132.30084154844914,184.82845825716026,4.792608480448771,4.959627021128856,13.682213868829756,1.5354602723023776,50.439432336543334,564.5712113532692,706.8129751647238,20.329954384186518,24.540800810947797,76.16218955904714,7.252407501267106
20,2014-10-04,1833,998,6.920710123618145,144.27848169515286,197.55623879067383,4.942594296228151,5.584074708515224,14.410186776035028,1.5010994097905335,53.274413529732676,603.4446262956901,724.9023458810693,21.958537915984724,27.743589743589745,82.2367703218767,7.642116748499728
